X,Y,Z
35.38,-131.52,1015.77
34.65,-131.64,1016.26
34.77,-131.76,1016.02
35.01,-131.52,1015.53
34.16,-131.03,1015.65
35.01,-131.15,1015.77
34.65,-131.39,1016.14
35.99,-131.76,1016.14
34.77,-131.64,1016.50
35.38,-131.27,1016.02
35.14,-131.27,1016.02
34.28,-131.15,1015.65
34.89,-131.52,1016.02
34.28,-131.64,1016.50
35.14,-131.52,1016.38
35.62,-131.64,1016.38
35.38,-131.27,1015.77
35.14,-131.15,1015.89
34.65,-131.52,1016.02
35.26,-131.76,1016.26
34.77,-131.64,1016.26
35.01,-131.27,1015.65
35.26,-131.15,1015.77
34.65,-131.27,1015.77
35.38,-131.52,1016.02
35.75,-131.88,1015.77
35.26,-131.52,1016.02
35.38,-131.52,1015.77
34.65,-131.39,1015.89
34.53,-131.52,1016.02
34.77,-131.52,1016.02
35.01,-131.76,1016.38
35.38,-131.76,1016.50
34.89,-131.27,1015.77
35.87,-131.15,1015.65
35.26,-131.03,1015.77
34.65,-132.00,1016.38
34.89,-131.76,1016.63
34.40,-131.27,1016.14
34.53,-131.27,1016.02
34.53,-131.15,1016.26
35.50,-131.52,1016.02
35.14,-131.76,1016.02
35.14,-131.76,1016.50
35.26,-131.52,1016.50
34.89,-131.52,1016.26
34.77,-131.27,1016.02
34.53,-131.15,1016.02
35.50,-131.52,1016.02
35.01,-131.64,1016.38
35.62,-131.76,1016.26
35.62,-131.52,1016.50
34.89,-131.27,1016.26
35.14,-131.15,1016.14
34.04,-132.00,1015.77
34.77,-131.64,1016.50
36.60,-131.27,1014.19
24.28,-128.59,1013.09
38.43,-129.93,1014.06
32.21,-131.27,1015.89
35.26,-131.39,1016.02
33.43,-131.76,1017.24
34.16,-131.64,1016.02
33.18,-131.64,1016.02
34.65,-131.15,1016.50
33.18,-131.27,1016.50
34.53,-131.76,1016.26
31.48,-131.88,1016.26
34.53,-131.03,1017.36
34.40,-130.78,1016.75
32.33,-131.52,1016.50
34.53,-131.27,1016.38
32.94,-131.88,1016.02
34.16,-131.52,1016.02
34.28,-131.27,1015.89
33.92,-131.39,1015.53
33.55,-131.27,1015.65
34.65,-131.39,1015.77
34.04,-131.64,1016.02
34.16,-131.52,1016.14
33.92,-131.52,1016.50
33.79,-131.15,1015.77
33.92,-131.03,1015.89
33.67,-131.27,1015.77
34.40,-131.88,1016.26
34.77,-131.52,1016.75
34.77,-131.88,1016.38
35.01,-131.15,1015.65
34.16,-131.39,1015.89
33.92,-131.52,1016.14
34.04,-131.64,1016.50
34.28,-131.52,1016.50
34.04,-131.52,1015.77
34.16,-131.03,1015.53
34.40,-131.03,1015.77
34.65,-131.39,1015.77
34.40,-131.64,1016.02
34.53,-131.64,1015.77
34.16,-131.27,1015.41
34.04,-131.03,1015.28
33.31,-131.27,1016.02
33.92,-131.76,1015.65
34.53,-131.52,1016.02
34.28,-131.03,1015.53
34.89,-131.15,1015.53
34.16,-131.27,1015.77
34.40,-131.76,1016.02
33.67,-131.52,1016.26
34.16,-131.52,1016.26
34.28,-131.15,1015.89
34.40,-131.03,1015.77
34.40,-131.27,1015.77
34.04,-131.39,1015.77
35.26,-131.64,1016.14
34.28,-131.64,1016.63
34.16,-131.64,1016.26
33.92,-131.39,1015.77
33.92,-131.27,1015.89
33.92,-131.27,1016.02
34.16,-131.52,1016.02
34.65,-131.76,1015.89
34.40,-131.52,1016.26
34.65,-131.27,1015.77
34.89,-131.27,1015.53
33.92,-131.52,1015.89
34.16,-131.52,1016.02
33.92,-131.39,1016.38
33.55,-131.03,1016.02
34.65,-131.03,1015.77
34.53,-130.91,1016.26
35.01,-131.27,1016.26
34.89,-131.52,1016.50
34.65,-131.64,1016.38
34.65,-131.52,1016.38
34.40,-131.27,1016.26
34.16,-131.03,1015.77
33.55,-131.52,1016.26
34.28,-131.64,1016.02
34.65,-131.64,1016.50
34.16,-131.27,1016.02
34.65,-131.15,1015.89
34.40,-131.39,1016.02
34.53,-131.64,1015.77
33.67,-131.76,1016.38
33.92,-131.64,1016.38
34.04,-131.15,1015.77
34.04,-131.27,1016.02
34.40,-130.91,1015.77
34.40,-131.27,1015.53
34.53,-131.76,1016.38
34.53,-131.39,1016.26
34.28,-131.39,1015.77
34.04,-131.27,1015.77
33.43,-131.27,1016.26
33.92,-131.39,1015.28
34.40,-131.76,1016.26
33.79,-130.78,1015.77
34.53,-131.39,1016.02
34.16,-131.39,1015.77
35.01,-131.15,1015.16
33.79,-131.76,1015.53
34.16,-132.00,1015.53
33.43,-131.52,1016.14
33.92,-131.03,1015.77
34.40,-131.03,1015.77
34.53,-131.27,1015.77
34.16,-131.64,1016.02
35.01,-131.88,1015.77
34.28,-131.76,1016.26
34.53,-131.52,1016.38
34.16,-131.03,1015.28
33.92,-131.15,1015.28
33.67,-131.27,1015.04
34.65,-131.52,1015.77
34.40,-131.64,1015.65
34.77,-131.27,1015.65
34.89,-130.91,1015.41
34.04,-130.91,1015.41
33.92,-131.39,1015.53
34.65,-131.76,1015.65
34.28,-131.52,1016.26
34.16,-131.03,1016.02
34.40,-131.27,1015.77
34.65,-131.03,1015.77
34.53,-131.39,1015.53
34.77,-131.64,1015.89
34.40,-131.52,1016.26
34.16,-131.15,1015.89
34.40,-131.15,1015.77
33.43,-131.03,1016.14
34.53,-131.27,1016.02
34.28,-131.64,1016.14
34.89,-131.76,1015.77
34.77,-131.39,1016.38
34.77,-131.15,1016.02
34.65,-131.27,1015.53
34.28,-130.91,1015.77
34.04,-131.52,1015.77
34.40,-131.39,1016.02
34.40,-131.52,1015.77
34.53,-131.27,1015.77
34.77,-131.03,1015.77
34.16,-131.03,1016.02
34.16,-131.03,1016.14
35.14,-131.52,1015.65
34.04,-131.52,1016.14
33.79,-131.88,1016.38
34.28,-131.52,1016.63
33.92,-131.27,1015.77
34.89,-131.03,1015.65
34.53,-131.15,1015.53
34.77,-131.64,1015.65
34.53,-131.76,1016.14
34.40,-131.15,1016.26
33.92,-131.15,1015.77
33.92,-131.15,1015.65
34.16,-131.27,1015.28
34.40,-131.15,1015.65
34.65,-131.52,1015.65
34.65,-131.15,1015.89
34.53,-131.03,1015.53
34.77,-131.03,1015.04
34.16,-131.15,1015.41
34.53,-131.15,1015.28
34.16,-131.39,1016.14
34.40,-131.27,1015.65
34.53,-131.15,1015.53
34.40,-131.03,1015.41
35.01,-130.78,1015.89
34.89,-131.27,1016.14
34.65,-131.52,1016.02
34.65,-131.64,1016.26
33.92,-131.27,1016.26
34.16,-131.15,1016.02
33.92,-130.91,1015.89
34.53,-131.03,1015.53
34.89,-131.52,1016.14
34.89,-131.52,1016.50
35.01,-130.78,1015.41
34.77,-131.76,1016.02
34.89,-131.27,1015.28
34.77,-131.27,1015.16
34.04,-131.52,1015.16
34.16,-131.64,1015.65
34.04,-131.39,1015.16
33.92,-130.78,1015.04
34.40,-131.27,1015.65
34.53,-131.76,1016.14
34.77,-131.52,1015.28
34.89,-131.03,1015.04
35.14,-131.52,1015.77
33.43,-131.27,1015.89
33.79,-130.78,1015.41
33.43,-131.52,1016.50
33.43,-130.66,1015.77
34.65,-130.78,1015.53
34.65,-131.39,1016.87
34.65,-131.27,1015.77
35.14,-131.39,1015.89
34.77,-131.39,1016.26
33.79,-130.66,1016.02
33.67,-131.52,1015.89
33.67,-131.15,1015.65
33.67,-130.78,1015.89
34.28,-131.64,1016.26
34.65,-130.78,1016.26
34.65,-131.03,1015.89
34.40,-131.76,1016.26
34.89,-131.27,1015.41
34.16,-131.52,1016.02
34.89,-132.00,1016.50
34.53,-131.03,1015.53
34.04,-131.27,1015.65
34.77,-131.76,1016.02
34.53,-130.91,1015.28
34.65,-131.76,1016.38
34.53,-131.39,1016.38
34.40,-131.03,1015.89
34.16,-131.76,1017.11
33.43,-130.78,1016.38
34.16,-131.27,1016.26
33.67,-131.52,1016.50
34.16,-131.03,1015.89
34.16,-131.52,1016.02
35.50,-131.39,1015.53
33.67,-130.66,1015.41
34.04,-131.39,1015.53
34.16,-131.52,1015.77
33.92,-130.17,1015.28
34.04,-131.27,1015.53
33.43,-130.78,1015.16
34.65,-130.66,1015.04
35.01,-131.52,1015.89
34.89,-130.91,1015.65
35.38,-131.52,1016.02
34.40,-131.52,1015.77
34.16,-130.66,1015.16
34.28,-131.52,1016.14
33.79,-131.39,1015.04
34.40,-130.78,1015.04
34.65,-131.64,1016.75
34.65,-130.54,1015.28
34.89,-131.15,1015.53
35.50,-131.52,1016.14
33.92,-130.78,1015.77
34.16,-131.15,1016.38
34.16,-131.15,1015.77
34.04,-130.78,1015.16
