X,Y,Z
156.28,-295.73,975.76
165.43,-289.26,989.54
161.77,-301.34,978.20
162.99,-285.85,984.91
158.84,-292.31,978.07
173.12,-300.12,989.18
161.28,-283.41,991.74
165.80,-296.09,989.66
183.24,-289.63,1006.26
182.76,-298.78,999.18
195.81,-295.12,1010.40
188.61,-291.21,991.62
215.94,-287.31,1000.16
207.77,-276.45,986.13
234.61,-283.53,979.78
225.21,-261.69,955.50
241.68,-271.33,951.36
266.81,-268.64,957.09
268.16,-258.27,935.37
288.41,-259.25,941.11
288.41,-232.65,931.35
300.36,-239.85,928.30
316.10,-220.21,937.20
329.03,-231.31,929.15
339.65,-222.41,936.35
333.30,-219.84,918.17
352.58,-212.28,927.08
351.73,-224.24,913.54
365.63,-222.41,924.03
357.22,-209.11,921.83
366.00,-224.24,921.59
371.61,-214.96,930.74
359.41,-218.14,920.12
370.88,-210.82,933.42
358.56,-210.21,923.78
378.44,-220.94,936.47
361.00,-216.31,924.64
377.83,-215.57,938.79
366.98,-220.70,926.83
380.88,-223.02,937.08
374.05,-209.47,936.96
374.30,-223.63,930.13
382.35,-217.28,938.91
369.42,-206.06,932.45
381.01,-222.16,934.28
366.37,-206.30,928.18
372.95,-219.48,927.93
373.32,-204.72,934.64
378.20,-221.55,933.06
381.13,-211.79,940.38
380.64,-218.62,939.52
375.27,-205.45,940.38
366.00,-206.91,931.23
385.76,-210.94,942.45
373.20,-201.18,934.03
386.62,-217.53,934.52
383.20,-204.23,935.98
379.30,-215.70,927.20
389.42,-211.91,937.45
371.73,-207.28,926.22
386.74,-206.42,939.64
375.64,-212.77,927.93
389.06,-214.84,937.94
370.88,-202.64,927.32
381.62,-214.84,930.74
388.69,-208.13,938.91
370.39,-207.03,925.25
383.69,-214.23,934.03
363.93,-195.81,929.64
366.98,-208.50,931.35
381.13,-203.50,938.42
387.59,-215.94,938.42
374.54,-197.64,931.47
377.35,-209.96,926.22
387.47,-197.27,936.59
382.35,-209.11,927.08
394.06,-208.50,937.45
383.57,-195.20,935.74
385.15,-213.99,935.86
379.79,-195.81,945.87
374.17,-203.37,940.62
394.06,-202.52,954.89
380.88,-191.05,945.50
397.96,-208.86,940.38
386.13,-189.83,929.15
407.60,-208.13,935.62
403.58,-193.37,938.91
403.09,-202.64,935.25
417.97,-199.59,946.23
410.77,-184.10,944.04
418.70,-198.13,934.15
430.90,-189.83,939.40
421.02,-182.02,919.15
446.52,-175.19,924.15
436.39,-166.65,912.44
463.48,-176.66,912.93
456.77,-150.55,894.26
488.73,-152.38,893.04
478.73,-141.52,880.35
483.85,-152.01,872.42
504.23,-138.35,882.30
496.42,-132.74,873.64
527.53,-132.25,877.42
518.38,-115.41,865.10
538.75,-122.24,847.90
527.77,-97.23,828.38
539.24,-106.99,824.35
554.25,-91.50,828.38
570.84,-103.70,828.87
559.86,-82.84,822.52
567.91,-91.26,822.04
583.16,-85.89,830.94
572.55,-80.03,815.33
589.14,-88.82,818.38
580.23,-77.10,808.98
590.36,-90.77,807.76
598.17,-76.74,817.16
591.21,-80.64,809.10
607.80,-75.64,819.60
603.29,-81.50,803.00
612.56,-68.32,808.37
602.19,-68.69,797.88
622.44,-63.56,808.86
611.59,-55.39,799.34
631.23,-71.00,798.25
623.66,-58.44,796.54
628.06,-68.20,792.15
635.38,-58.80,798.98
620.61,-57.34,776.77
634.64,-54.66,781.17
623.05,-57.10,771.04
642.94,-67.95,787.27
627.81,-71.25,786.17
643.92,-75.88,800.08
620.86,-60.51,791.78
630.74,-71.86,792.02
639.65,-68.56,796.78
628.79,-76.25,783.48
634.03,-68.32,792.76
620.61,-69.54,783.73
644.65,-81.13,799.10
630.74,-73.08,794.46
643.67,-89.55,798.37
624.76,-75.64,788.97
643.92,-80.64,800.93
630.01,-67.95,798.98
640.99,-79.18,803.61
638.06,-66.25,804.47
632.69,-74.66,791.17
646.48,-71.98,800.44
633.42,-68.32,788.61
648.06,-74.30,798.12
634.03,-58.19,792.76
651.24,-64.66,795.56
642.57,-54.90,785.68
655.87,-74.54,776.77
647.33,-64.17,764.33
657.09,-78.45,760.18
670.15,-78.32,765.92
654.29,-77.96,744.69
669.78,-86.86,749.81
659.90,-71.49,745.05
667.46,-82.47,749.32
666.00,-69.30,763.23
659.29,-77.71,756.03
676.61,-77.71,760.79
665.88,-82.35,740.17
672.59,-71.61,742.98
661.73,-75.40,733.71
678.20,-82.72,748.35
660.51,-74.54,747.62
657.21,-85.40,751.89
661.36,-77.10,782.14
654.77,-88.82,786.90
662.83,-84.18,797.39
643.06,-80.40,783.73
657.82,-76.13,784.58
643.18,-71.74,770.55
662.70,-83.33,772.26
642.94,-75.52,760.55
656.85,-85.89,768.84
641.84,-69.42,773.24
644.28,-82.23,774.21
657.82,-85.16,785.07
636.11,-74.42,778.48
648.92,-86.86,781.65
638.55,-69.91,779.95
652.46,-86.86,784.34
646.48,-73.20,786.66
642.45,-85.64,782.87
637.82,-70.76,787.27
646.23,-91.13,788.61
644.40,-79.30,793.49
630.13,-42.82,786.29
646.11,-35.99,787.14
637.94,-28.30,773.97
638.30,-52.58,752.62
627.81,-45.63,739.44
630.25,-55.39,737.00
622.57,-45.26,747.74
610.49,-76.98,756.40
607.56,-74.79,771.77
574.38,-72.96,773.85
562.42,-66.00,799.47
537.41,-74.66,793.49
523.99,-103.82,816.79
498.25,-100.04,821.79
473.24,-109.19,821.55
462.14,-119.93,862.05
409.43,-133.96,875.72
405.28,-152.50,905.97
367.71,-153.23,987.96
355.26,-172.02,982.83
347.33,-165.07,968.07
315.00,-179.34,950.26
295.97,-168.60,990.64
277.06,-170.19,982.95
280.97,-178.36,988.44
264.50,-173.73,980.88
255.96,-184.71,977.59
260.35,-183.49,993.57
243.39,-195.93,981.73
237.41,-182.15,991.37
224.11,-184.95,980.64
236.44,-181.66,995.89
214.11,-171.29,984.54
229.12,-165.19,1000.77
215.94,-157.99,991.62
211.79,-166.53,985.76
224.72,-160.67,999.79
210.21,-155.92,988.32
220.09,-164.70,996.98
220.82,-150.06,1002.47
203.25,-149.94,984.78
219.84,-144.69,1001.86
205.69,-137.74,992.10
210.69,-153.23,992.35
211.30,-131.76,996.25
204.23,-141.15,987.59
