X_times,Y-amplitude
0.845,-500.8262451268021
0.85,-473.827966771766
0.855,-445.02338113486354
0.86,-414.54343397674154
0.865,-382.5182273371392
0.87,-349.0760917902948
0.875,-314.3427327547717
0.88,-278.4404613140484
0.885,-241.48751587593162
0.89,-203.59747661145647
0.895,-164.87877094205936
0.9,-125.43426609619281
0.905,-85.36094427613881
0.91,-44.74965716697176
0.915,-3.6849588583892676
0.92,37.75498113848686
0.925,79.49838127231648
0.93,121.47976406261716
0.935,163.63978306793788
0.94,205.92496220444744
0.945,248.28735299986917
0.95,290.6841191825442
0.955,333.07706067061065
0.96,375.4320899812883
0.965,417.71867313085966
0.97,459.9092445036903
0.975,501.97860172052486
0.98,543.9032833286642
0.985,585.6609301841625
0.99,627.2296313553376
0.995,668.5872573546112
1.0,709.7107869439635
1.005,750.5756375919143
1.01,791.1550127037885
1.015,831.4192800780801
1.02,871.335395241236
1.025,910.8663805350819
1.03,949.9708666905174
1.035,988.6026990739263
1.04,1026.7106070460131
1.045,1064.2379330736376
1.05,1101.1224189246543
1.055,1137.2960490639052
1.06,1172.6849551366483
1.065,1207.2093888323013
1.07,1240.7837723579644
1.075,1273.316835586636
1.08,1304.711846561517
1.085,1334.8669378069872
1.09,1363.6755257201728
1.095,1391.026815532156
1.1,1416.8063812511596
1.105,1440.896809389688
1.11,1463.1783971243603
1.115,1483.5298990956373
1.12,1501.8293209915573
1.125,1517.9547609024391
1.13,1531.7853001879278
1.135,1543.2019440244765
1.14,1552.088608264313
1.145,1558.3331445175975
1.15,1561.828390599403
1.155,1562.4732299529503
1.16,1560.1736424116298
1.165,1554.8437300844205
1.17,1546.4067058029177
1.175,1534.795836294905
1.18,1519.9553365327283
1.185,1501.8412141812391
1.19,1480.422063027955
1.195,1455.6798019007026
1.2,1427.610351772221
1.205,1396.2242397345128
1.21,1361.5471154948148
1.215,1323.6201649648795
1.22,1282.5004068884182
1.225,1238.2608621251632
1.23,1190.9905903672366
1.235,1140.7945944032401
1.24,1087.7935961492572
1.245,1032.123690522248
1.25,973.9358826457594
1.255,913.3955114954016
1.26,850.681560069412
1.265,785.9858497298284
1.27,719.5121154349152
1.275,651.4749596658571
1.28,582.0986859709224
1.285,511.6160177562261
1.29,440.2667133823053
1.295,368.29609382147186
1.3,295.9535033466152
1.305,223.4907264225467
1.31,151.16038474599293
1.315,79.2143370957789
1.32,7.9021016408089535
1.325,-62.53068364016497
1.33,-131.8437508072426
1.335,-199.8036336897717
1.34,-266.1850349964408
1.345,-330.7721226248865
1.35,-393.35974788986107
1.355,-453.75457640044306
1.36,-511.7761202515135
1.365,-567.2576589103963
1.37,-620.0470364054976
1.375,-670.007324559074
1.38,-717.0173458576028
1.385,-760.9720542969918
1.39,-801.7827770489105
1.395,-839.3773230721864
1.4,-873.6999662777487
1.405,-904.711310540699
1.41,-932.3880421954606
1.415,-956.7225733782824
1.42,-977.7225775857785
1.425,-995.410418011658
1.43,-1009.8224702332999
1.435,-1021.0083437032298
1.44,-1029.030010681125
1.445,-1033.9608556351332
1.45,-1035.8846615067032
1.455,-1034.89455068336
1.46,-1031.0918978197758
1.465,-1024.585229137148
1.47,-1015.4891192846526
1.475,-1003.9230932688348
1.48,-990.0105383038656
1.485,-973.8776293837892
1.49,-955.6522731808506
1.495,-935.4630772170425
1.5,-913.4383542870177
1.505,-889.7051747589846
1.51,-864.388480680663
1.515,-837.6102749322424
1.52,-809.4888959461816
1.525,-780.1383843865972
1.53,-749.6679436753212
1.535,-718.1814923779739
1.54,-685.7773039896607
1.545,-652.5477289988471
1.55,-618.5789952205062
1.555,-583.9510847709552
1.56,-548.7376888160705
1.565,-513.0062432651079
1.57,-476.81804897022494
1.575,-440.22847837041525
1.58,-403.28726723018764
1.585,-366.0388860052115
1.59,-328.5229814447678
1.595,-290.77487623041895
1.6,-252.82611335948621
1.605,-214.70503284666592
1.61,-176.43737091320403
1.615,-138.0468753897575
1.62,-99.5559344548428
1.625,-60.98621800014243
1.63,-22.359331149231668
1.635,16.30252239751073
1.64,54.97587293341318
1.645,93.63532287151838
1.65,132.25290323285958
1.655,170.79746278513258
1.66,209.23410346555195
1.665,247.5236730495954
1.67,285.62232192544116
1.675,323.4811262410929
1.68,361.0457758142041
1.685,398.25632321826896
1.69,435.0469909896839
1.695,471.3460366004422
1.7,507.075678613782
1.705,542.1520909392423
1.71,576.4854741840883
1.715,609.9802130694163
1.72,642.5351265848919
1.725,674.0438133680913
1.73,704.3950896224712
1.735,733.4735120649107
1.74,761.159975236057
1.745,787.3323717947632
1.75,811.8663061827468
1.755,834.6358555840493
1.76,855.5143761006418
1.765,874.375355027968
1.77,891.0933110064367
1.775,905.5447423709768
1.78,917.6091205663371
1.785,927.1699208209355
1.79,934.1156775061727
1.795,938.3410480301822
1.8,939.7478677663481
1.805,938.2461798182317
1.81,933.755226982575
1.815,926.204397969515
1.82,915.5341242673823
1.825,901.6967266126312
1.83,884.6572100824184
1.835,864.3940045042992
1.84,840.8996430705913
1.845,814.1813679915441
1.85,784.2616489327861
1.855,751.178598825554
1.86,714.9862729244074
1.865,675.7548405841632
1.87,633.5706243447297
1.875,588.5360062696527
1.88,540.7692056572353
1.885,490.4039341819409
1.89,437.58893399417633
1.895,382.4874019368655
1.9,325.27629998678157
1.905,266.1455495339512
1.91,205.29710612589562
1.915,142.94391232520132
1.92,79.30872938716414
1.925,14.622853114919462
1.93,-50.87527534802009
1.935,-116.94154780936506
1.94,-183.3277361128027
1.945,-249.78308483791244
1.95,-316.0559254108851
1.955,-381.89528846825993
1.96,-447.0524941942649
1.965,-511.28270435768565
1.97,-574.3464239530787
1.975,-636.0109438086977
1.98,-696.0517176479458
1.985,-754.2536676097328
1.99,-810.4124112413554
1.995,-864.3354009812012
2.0,-915.842964956107
2.005,-964.7692364216073
2.01,-1010.9629591708075
2.015,-1054.2881582124285
2.02,-1094.6246688398398
2.025,-1131.8685220649331
2.03,-1165.9321891068323
2.035,-1196.744691152573
2.04,-1224.2515823196816
2.045,-1248.414813579337
2.05,-1269.212483765284
2.055,-1286.6384814335433
2.06,-1300.7020191725608
2.065,-1311.4270609500993
2.07,-1318.8516439055775
2.075,-1323.027098765717
2.08,-1324.0171772324686
2.085,-1321.8970991858755
2.09,-1316.7525360918044
2.095,-1308.6785486557287
2.1,-1297.7784962080552
2.105,-1284.1629328385472
2.11,-1267.9485016720694
2.115,-1249.2568349268736
2.12,-1228.2134645258195
2.125,-1204.9467467641507
2.13,-1179.5868051833588
2.135,-1152.2644981063763
2.14,-1123.1104204287558
2.145,-1092.2539521275514
2.15,-1059.8223675066756
2.155,-1025.940018729321
2.16,-990.7276045804304
2.165,-954.3015312636016
2.17,-916.7733674141034
2.175,-878.249391453002
2.18,-838.8302267290051
2.185,-798.6105590595438
2.19,-757.6789323005502
2.195,-716.1176199647454
2.2,-674.0025737777387
2.205,-631.4034522870857
2.21,-588.3837332376175
2.215,-545.0009119796612
2.22,-501.30678497569477
2.225,-457.34781332291817
2.23,-413.1655571491553
2.235,-368.79716873675767
2.24,-324.2759309566531
2.245,-279.63182833446996
2.25,-234.8921406254191
2.255,-190.08205238425188
2.26,-145.22527554540233
2.265,-100.3446843747674
2.27,-55.462962565835085
2.275,-10.603260528844567
2.28,34.21014244249413
2.285,78.9511803784062
2.29,123.59135974168267
2.295,168.09914958706648
2.3,212.4394163887378
2.305,256.5729145501877
2.31,300.45583952668625
2.315,344.0394458768101
2.32,387.2697286234667
2.325,430.08716424234416
2.33,472.42650805121565
2.335,514.2166474502269
2.34,555.3805142854187
2.345,595.8350632288049
2.35,635.4913253157323
2.355,674.2545459168781
2.36,712.0244142546325
2.365,748.6953874539512
2.37,784.157106936884
2.375,818.2949000559207
2.38,850.9903565645163
2.385,882.1219686791108
2.39,911.5658251699524
2.395,939.1963534478448
2.4,964.8871076713934
2.405,988.511603955642
2.41,1009.9442047397001
2.415,1029.0610529729672
2.42,1045.7410533508064
2.425,1059.8668931481595
2.43,1071.3260903861838
2.435,1080.0120534009588
2.44,1085.8251344252722
2.445,1088.673661000791
2.45,1088.4749325410069
2.455,1085.1561740411942
2.46,1078.6554432653168
2.465,1068.9224903436855
2.47,1055.9195688165432
2.475,1039.6221948664443
2.48,1020.0198476679825
2.485,997.1165996750734
2.49,970.9316624748808
2.495,941.4998325398753
2.5,908.8718223443321
2.505,873.1144657862734
2.51,834.3107919113853
2.515,792.5599663023248
2.52,747.9771037351517
2.525,700.6929577291666
2.53,650.8534921592482
2.535,598.6193377707208
2.54,544.1651333872121
2.545,487.6787490685531
2.55,429.36038742105893
2.555,369.42156020381213
2.56,308.0839403673937
2.565,245.5780942993773
2.57,182.14210451485258
2.575,118.0200983744082
2.58,53.460702899841614
2.585,-11.284551133058676
2.59,-75.96285136748008
2.595,-140.32172865842796
2.6,-204.11066355386137
2.605,-267.08265749077975
2.61,-328.9957559990274
2.615,-389.6145148532589
2.62,-448.71140246068614
2.625,-506.06813246975355
2.63,-561.4769196708785
2.635,-614.7416502205068
2.64,-665.6789548849798
2.645,-714.1191723066175
2.65,-759.9071890846191
2.655,-802.9031452748552
2.66,-842.9829976730708
2.665,-880.0389381698587
2.67,-913.9796693652993
2.675,-944.730543395762
2.68,-972.2335718633261
2.685,-996.4473147427121
2.69,-1017.3466545597618
2.695,-1034.9224597244724
2.7,-1049.1811386091867
2.705,-1060.1440847879333
2.71,-1067.84701452413
2.715,-1072.3392002649368
2.72,-1073.682608067062
2.725,-1071.9509514835956
2.73,-1067.228678194197
2.735,-1059.609907550129
2.74,-1049.1973368524077
2.745,-1036.1011318310564
2.75,-1020.43781317362
2.755,-1002.3291470949683
2.76,-981.9010448893822
2.765,-959.2824749412589
2.77,-934.6043911635138
2.775,-907.9986840828968
2.78,-879.5971639964565
2.785,-849.5305886590418
2.79,-817.9277497369698
2.795,-784.9146319899602
2.8,-750.6136566436198
2.805,-715.1430162756709
2.81,-678.6161038329495
2.815,-641.141034208441
2.82,-602.8202539761959
2.825,-563.750233905429
2.83,-524.0212398098488
2.835,-483.7171796893849
2.84,-442.91552810077195
2.845,-401.6873310995171
2.85,-360.0972958844148
2.855,-318.2039679583902
2.86,-276.0599954427146
2.865,-233.71247595643766
2.87,-191.2033772707602
2.875,-148.5700197792234
2.88,-105.84560738700685
2.885,-63.05979401637123
2.89,-20.23927538573124
2.895,22.59160068044753
2.9,65.41020855589299
2.905,108.19500442323788
2.91,150.9248713756096
2.915,193.57845187081077
2.92,236.13347279612717
2.925,278.5660724500708
2.93,320.8501421846552
2.935,362.95669724116146
2.94,404.85329090800866
2.945,446.5034835846181
2.95,487.8663742304711
2.955,528.8961969678727
2.96,569.5419815103621
2.965,609.7472738433225
2.97,649.4499138963484
2.975,688.581869559383
2.98,727.0691302243165
2.985,764.8316667126902
2.99,801.7834667849306
2.995,837.8326556485358
3.0,872.8817087662894
3.005,906.8277601522643
3.01,939.5630041296272
3.015,970.9751835486944
3.02,1000.9481540928573
3.025,1029.3625133844957
3.03,1056.096285227415
3.035,1081.0256528252746
3.04,1104.0257389020223
